Radio Mobile
$Unit
Unit ID,Unit name,Enabled,Latitude,Longitude,Elevation,Icon,Forecolor,Style,Backcolor,Text,Locked
1,Amiens Knob AL,1,-28.6061,151.8175,958.4,307,0,1,FFFFFF,5702,0
2,Ballandean Hill Aler,1,-28.7978,151.8303,778.6,307,0,1,FFFFFF,,0
3,Bony Mountain AL,1,-28.1014,151.8767,569,307,0,1,FFFFFF,5706,0
4,Carrs Lookout AL,1,-28.2944,152.4156,1093.7,307,0,1,FFFFFF,,0
5,Constitution Hill,1,-27.4797,152.9542,247.1,307,FFFFFF,0,0,,0
6,Hillcrest(Wine Glass,1,-27.6763,153.03,77,307,0,1,FFFFFF,,0
7,Kooralbyn AL,1,-28.0661,152.8532,335.2,307,0,1,FFFFFF,5328,0
8,Laheys Lookout AL,1,-27.9972,153.1825,550.2,307,0,1,FFFFFF,5301,0
9,Tamborine AL,1,-27.8647,153.1211,34.6,307,0,1,FFFFFF,5372,0
10,O'Reillys AL,1,-28.2314,153.1356,936.4,307,0,1,FFFFFF,,0
11,Upper Rosenthal Aler,1,-28.4025,152.0386,855,307,0,1,FFFFFF,,0
12,Warahgai AL,1,-28.2269,151.4892,650.5,307,0,1,FFFFFF,5704,0
13,Accommodation Ck AL,1,-28.8081,151.8364,693.5,243,0,1,FFFFFF,5735,0
14,Artunga AL,1,-28.4014,151.2925,324.9,243,0,1,FFFFFF,4509,0
15,Ballandean AL,1,-28.7847,151.82,698.2,243,0,1,FFFFFF,5732,0
16,Barongarook AL,1,-28.4314,151.4622,393.6,243,0,1,FFFFFF,4523,0
17,Beaudesert AL,1,-27.9681,152.9861,49.1,243,0,1,FFFFFF,5323,0
18,Beenleigh AL,1,-27.7258,153.2192,9.8,243,0,1,FFFFFF,6273,0
19,Bellbird Park (Purse,1,-27.6692,152.8731,63.9,243,0,1,FFFFFF,2096,0
20,Benobble AL,1,-27.9978,153.1575,85.2,243,0,1,FFFFFF,5317,0
21,Blackstone Br Al,1,-27.6219,152.7978,23.3,243,0,1,FFFFFF,2178,0
22,Boonah AL,1,-28.0033,152.6875,97.3,243,0,1,FFFFFF,5350,0
23,Brisbane Rd AL,1,-27.6078,152.9083,25.8,243,0,1,FFFFFF,2188,0
24,Bromfleet AL,1,-27.9108,153.1047,44.7,243,0,1,FFFFFF,5320,0
25,Bundamba (Barclay St,1,-27.6203,152.8261,97.4,243,0,1,FFFFFF,2050,0
26,Bundamba (Hanlon St),1,-27.5914,152.7964,18.3,243,0,1,FFFFFF,2048,0
27,Canning Ck AL,1,-28.1711,151.1361,351.4,243,0,1,FFFFFF,4502,0
28,Carbrook AL,1,-27.6547,153.2317,24.8,243,0,1,FFFFFF,6202,0
29,Cherrabah AL,1,-28.4389,152.0947,709.3,243,0,1,FFFFFF,6850,0
30,Churchill AL,1,-27.6335,152.754,23.3,243,0,1,FFFFFF,2043,0
31,Connolly Dam AL,1,-28.3558,151.9967,574.4,243,0,1,FFFFFF,6859,0
32,Cons Plains AL,1,-28.2297,152.4164,1194.8,243,0,1,FFFFFF,6895,0
33,Croftby AL,1,-28.1481,152.57,173,243,0,1,FFFFFF,5345,0
34,Dalveen AL,1,-28.5,151.9706,928.7,243,0,1,FFFFFF,6876,0
35,Darlington AL,1,-28.2608,153.0917,314.7,243,0,1,FFFFFF,5304,0
