Repeater,BoM Network,ACMA Lic.,Rx,Tx,Pass low 1,Pass high 1,Pass low 2,Pass high 2,Pass low 3,Pass high 3,Pass low 4,Pass high 4,Pass low 5,Pass high 5,Pass low 6,Pass high 6,Pass low 7,Pass high 7,Pass low 8,Pass high 8
Betanga,Barcaldine, ,151.500 Mhz,151.500 Mhz,4658,4665,,,,,,,,,,,,,,
Mt Pisgah,Barcaldine, ,151.500 Mhz,151.500 Mhz,4650,4699,,,,,,,,,,,,,,
Sedgeford,Barcaldine, ,151.500 Mhz,151.500 Mhz,4666,4670,,,,,,,,,,,,,,
Barneys Bore,Blackall, ,151.500 Mhz,151.500 Mhz,4600,4628,,,,,,,,,,,,,,
Mt Calder,Blackall, ,151.500 Mhz,151.500 Mhz,4610,4613,,,,,,,,,,,,,,
Mt Macquarie,Blackall, ,151.500 Mhz,151.500 Mhz,4600,4607,4626.0,4628.0,,,,,,,,,,,,
Wyanga,Blackall, ,151.500 Mhz,151.500 Mhz,4600,4603,,,,,,,,,,,,,,
Augathella,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,1001,1046,,,,,,,,,,,,,,
Barraden,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,4223,4225,,,,,,,,,,,,,,
Calowrie,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,4236,4243,1050.0,1067.0,,,,,,,,,,,,
Cooks Tank,Charleville Met Office, ,151.500 Mhz ,151.500 Mhz,1001,1005,,,,,,,,,,,,,,
Dunvegan,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,4244,4250,1001.0,1046.0,1068.0,1070.0,,,,,,,,,,
Loddon,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,1057,1059,,,,,,,,,,,,,,
Middle Creek,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,4200,4235,4244.0,4249.0,1000.0,1049.0,1068.0,1070.0,,,,,,,,
Moyallen,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,4243,4247,1068.0,1070.0,,,,,,,,,,,,
Mt Lindsay,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,1001,1012,1019.0,1027.0,1032.0,1034.0,,,,,,,,,,
Mt Tabor,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,1013,1031,,,,,,,,,,,,,,
Myendetta,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,4226,4235,,,,,,,,,,,,,,
Ravenscourt,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,1060,1067,,,,,,,,,,,,,,
Willara,Charleville Met Office, ,151.500 Mhz,151.500 Mhz,1001,1036,,,,,,,,,,,,,,
Amiens Knob,Constitution Hill,10182196/1,151.500 Mhz,151.500 Mhz,5700,5739,5751.0,5767.0,4500.0,4600.0,,,,,,,,,,
Ballandean Hill,Constitution Hill,10182197/1,151.500 Mhz,151.500 Mhz,5732,5736,,,,,,,,,,,,,,
Bony Mountain,Constitution Hill,10182195/1,151.500 Mhz,151.500 Mhz,5737,5757,,,,,,,,,,,,,,
Carrs Lookout,Constitution Hill, ,151.500 Mhz,151.500 Mhz,6884,6890,,,,,,,,,,,,,,
Constitution Hill No1,Constitution Hill,433726,151.500 Mhz,151.500 Mhz,1900,2200,4100.0,4199.0,4800.0,4899.0,5304.0,5312.0,5500.0,5550.0,6200.0,6299.0,,,,
Constitution Hill No2 ,Constitution Hill,1410740,152.400 Mhz,152.400 Mhz,2200,2499,4109.0,4125.0,4500.0,4600.0,5300.0,5399.0,5700.0,5799.0,6850.0,6899.0,,,,
Hillcrest - Wine Glass,Constitution Hill,1411025,151.500 Mhz,151.500 Mhz,1900,2200,4151.0,4199.0,4800.0,4899.0,5304.0,5399.0,6200.0,6274.0,,,,,,
Kooralbyn,Constitution Hill, ,151.500 Mhz,151.500 Mhz,5386,5388,,,,,,,,,,,,,,
Laheys Lookout,Constitution Hill,1421318,151.500 Mhz,152.400 Mhz,5313,5327,5360.0,5365.0,5371.0,5379.0,5389.0,5382.0,5389.0,5390.0,,,,,,
Lower Springbrook,Constitution Hill,11165505/1,151.950 Mhz,151.950 Mhz,2277,2278,,,,,,,,,,,,,,
Molendinar,Constitution Hill, ,151.500 Mhz ,151.500 Mhz,2200,2500,,,,,,,,,,,,,,
Mt Tamborine,Constitution Hill,1410739,151.500 Mhz,152.400 Mhz,2200,2400,6200.0,6274.0,4151.0,4199.0,,,,,,,,,,
O'Reillys,Constitution Hill,1421319,151.500 Mhz ,152.400 Mhz,5304,5307,5328.0,5343.0,,,,,,,,,,,,
Round Mt Res,Constitution Hill, ,151.500 Mhz,151.500 Mhz,1979,1981,1993.0,1995.0,4112.0,4114.0,4121.0,4150.0,5500.0,5550.0,6275.0,6299.0,,,,
Tallai,Constitution Hill,433855,151.500 Mhz,151.500 Mhz,2200,2500,,,,,,,,,,,,,,
