Unit ID,Unit name,Enabled,Latitude,Longitude,Elevation,Icon,Forecolor,Style,Backcolor,Text,Locked
1,Loudoun Br AL,1,-27.3278,150.9218,354.5,1,FFFFFF,0,0,6129.0,0
2,18 Bateson,1,-27.39,152.7791,524.4,334,0,1,0,,0
3,Abbieglassie Al,1,-27.2919,147.4838,0.0,243,0,1,FFFFFF,1073.0,0
4,Abercorn AL,1,-25.1292,151.1306,199.3,243,0,1,FFFFFF,748.0,0
5,Abergowrie AL,1,-18.4889,145.9364,40.8,243,0,1,FFFFFF,6013.0,0
6,Abergowrie Br Al,1,-18.5144,146.0006,34.5,243,0,1,FFFFFF,6039.0,0
7,Accommodation Ck AL,1,-28.8081,151.8364,693.5,243,0,1,FFFFFF,5735.0,0
8,Adavale Rd AL,1,-26.3264,146.0978,0.0,243,0,1,FFFFFF,1051.0,0
9,Ainsworth Rd (Middle,1,-28.9162,152.8841,84.3,243,0,1,FFFFFF,0.0,0
10,Albert River Tm,1,-17.8615,139.4081,10.2,243,0,1,FFFFFF,0.0,0
11,Aldavilla D/S (Macle,1,-31.0825,152.7831,17.8,243,0,1,FFFFFF,7329.0,0
12,Alick Ck Rwr TM,1,-21.1832,142.921,205.2,243,0,1,FFFFFF,,0
13,Alick Ck Tm,1,-20.4167,141.9992,0.0,243,0,1,FFFFFF,,0
14,Allambie Al,1,-26.9033,145.3525,288.0,307,0,1,FFFFFF,,0
15,Alligator Ck Aler,1,-19.3869,146.9578,10.7,243,0,1,FFFFFF,,0
16,Alligator Ck Rd,1,-19.4035,146.946,18.7,243,0,1,FFFFFF,,0
17,Allora (Dalrymple Cr,1,-28.0347,151.987,471.8,243,0,1,FFFFFF,,0
18,Alpha,1,-23.649,146.6464,0.0,243,0,1,FFFFFF,,0
19,Alroy Crossing Tm,1,-27.8055,144.7079,0.0,243,0,1,FFFFFF,0.0,0
20,Alstonville Stp,1,-28.8306,153.4444,124.5,243,0,1,FFFFFF,7559.0,0
21,Amelia Cr (Yarrowmer,1,-21.0257,145.7661,0.0,243,0,1,FFFFFF,0.0,0
22,Amiens Knob AL,1,-28.6061,151.8175,958.4,307,0,1,FFFFFF,5702.0,0
