station_id,station_name,current_acma_licence,suggested_licence_no,already_recorded,licensee,freq_mhz,freq_match,distance_m,site_id,site_name,site_precision,device_id
allambie_lane,Allambie Lane,,12779522/1,,Townsville City Council,152.4000,n/a (no rx_mhz recorded),0,153407,Broadcast Site Allambie Lane KELSO,Within 10 metres,2870485106
amiens_knob_al,Amiens Knob AL,10182196/1,10182196/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,1,10004034,BOM Site Amiens Knob 71 Minuti Lane Amiens,Within 100 metres,2870244402
bald_knob_al,Bald Knob AL,433989,10775753/1,,Queensland Bulk Water Supply Authority,151.5000,yes,7,15958,Main Roads/Qld Transport Site WILKES KNOB,Within 10 metres,2870184192
bald_knob_al,Bald Knob AL,433989,433989/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,16,15959,Energex Site WILKES KNOB,Within 10 metres,2870468000
ballandean_hill_aler,Ballandean Hill Aler,,10182197/1,,BUREAU OF METEOROLOGY,151.5000,n/a (no rx_mhz recorded),3,10004033,BOM Site Ballandean Hill  via Bents Road Ballandean,Within 100 metres,2870094973
bilyana_al,Bilyana AL,1448341,1448341/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,292,441162,Bureau Of Meteorology Site BILYANA,Unknown,2870516891
black_mountain_farl,Black Mountain (Farl,,106735/1,,BJ Tandy and Co Pty Ltd,163.2375,n/a (no rx_mhz recorded),9,18429,Shepherd Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870504345
black_mountain_farl,Black Mountain (Farl,,1144304/1,,Mitchell Flor,165.0500,n/a (no rx_mhz recorded),9,18429,Shepherd Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870461145
black_mountain_farl,Black Mountain (Farl,,1464913/1,,MACKAY SUGAR LIMITED,164.6250,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870472156
black_mountain_farl,Black Mountain (Farl,,1905043/1,,ST. JOHN AMBULANCE AUSTRALIA INCORPORATED,150.9000,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870405560
black_mountain_farl,Black Mountain (Farl,,1905044/1,,ST. JOHN AMBULANCE AUSTRALIA INCORPORATED,151.1250,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870290062
black_mountain_farl,Black Mountain (Farl,,1905045/1,,ST. JOHN AMBULANCE AUSTRALIA INCORPORATED,162.3625,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870128167
black_mountain_farl,Black Mountain (Farl,,1905046/1,,ST. JOHN AMBULANCE AUSTRALIA INCORPORATED,162.6125,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870519906
black_mountain_farl,Black Mountain (Farl,,1481303/1,,MACKAY SUGAR LIMITED,163.0750,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870138497
black_mountain_farl,Black Mountain (Farl,,1466318/2,,CSE CROSSCOM PTY LTD,163.8875,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870366303
black_mountain_farl,Black Mountain (Farl,,1904310/3,,CSE CROSSCOM PTY LTD,164.0625,n/a (no rx_mhz recorded),18,440602,RCS Site The Black Mountain  13 km NW of MACKAY,Within 10 metres,2870406281
bones_knob_al,Bones Knob AL,1447474,1441012/1,,BUREAU OF METEOROLOGY,151.5000,yes,37,440307,Comms Mast  Bureau of Meteorology Site Bones Knob  off Griffin Rd TOLGA,Unknown,2870216331
bones_knob_al,Bones Knob AL,1447474,1447474/1,yes,BUREAU OF METEOROLOGY,151.9500,yes,37,440307,Comms Mast  Bureau of Meteorology Site Bones Knob  off Griffin Rd TOLGA,Unknown,2870221051
bony_mountain_al,Bony Mountain AL,10182195/1,10182195/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,3,10004035,BOM Site via Yankee Gully Road Bony Mountain,Within 10 metres,2870484070
brinsmead_al,Brinsmead AL,1441013,1441013/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,457,440326,Met Site Whitfield Range BRINSMEAD,Unknown,2870193659
budawang,Budawang,,1206178/1,,NSW RURAL FIRE SERVICE,148.5875,n/a (no rx_mhz recorded),15,9728,"NPWS 18m Lattice Tower Fire Lookout Budawang National Park, Mount Budawang Rd BUDAWANG",Within 100 metres,2870446071
budawang,Budawang,,1917305/1,,OFFICE OF ENVIRONMENT AND HERITAGE,162.1000,n/a (no rx_mhz recorded),15,9728,"NPWS 18m Lattice Tower Fire Lookout Budawang National Park, Mount Budawang Rd BUDAWANG",Within 100 metres,2870215806
budawang,Budawang,,1917397/1,,OFFICE OF ENVIRONMENT AND HERITAGE,162.8125,n/a (no rx_mhz recorded),15,9728,"NPWS 18m Lattice Tower Fire Lookout Budawang National Park, Mount Budawang Rd BUDAWANG",Within 100 metres,2870396021
budawang,Budawang,,433708/1,,BUREAU OF METEOROLOGY,151.5000,n/a (no rx_mhz recorded),15,9728,"NPWS 18m Lattice Tower Fire Lookout Budawang National Park, Mount Budawang Rd BUDAWANG",Within 100 metres,2870499494
cameron_hill_al,Cameron Hill AL,1447480,433844/1,,BUREAU OF METEOROLOGY,151.5000,yes,67,480229,Bureau Met Site PLANT HILL CAMERON HILL,Within 10 metres,2870092839
cameron_hill_al,Cameron Hill AL,1447480,1447480/1,yes,BUREAU OF METEOROLOGY,151.9500,yes,121,441067,Met Bureau Site Cameron Hill REID RIVER,Unknown,2870469592
cameron_hill_al,Cameron Hill AL,1447480,433963/1,,BUREAU OF METEOROLOGY,151.5000,yes,403,19674,Telstra Radio Terminal PLANT HILL CAMERON HILL,Within 10 metres,2870403567
clarke_range_al,Clarke Range AL,1400231,1400231/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,99,400240,Bureau of Meteorology Site CLARKE RG,Unknown,2870337132
constitution_hill,Constitution Hill,433726,433726/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,16,12766,Energex Site Constitution Hill Sir Samuel Griffith Dr MOUNT COOT-THA,Within 10 metres,2870462676
coopers_shoot_repeat,Coopers Shoot Repeat,,1983304/1,,Volunteer Marine Rescue NSW,161.5250,n/a (no rx_mhz recorded),9,204828,RVCP Site Coopers Shoot Road BYRON BAY,Within 10 metres,2870226020
coopers_shoot_repeat,Coopers Shoot Repeat,,13003087/1,,Volunteer Marine Rescue NSW,156.8000,n/a (no rx_mhz recorded),9,204828,RVCP Site Coopers Shoot Road BYRON BAY,Within 10 metres,2870327294
coopers_shoot_repeat,Coopers Shoot Repeat,,13003088/1,,Volunteer Marine Rescue NSW,156.3750,n/a (no rx_mhz recorded),9,204828,RVCP Site Coopers Shoot Road BYRON BAY,Within 10 metres,2870277696
coopers_shoot_repeat,Coopers Shoot Repeat,,1205130/1,,NSW RURAL FIRE SERVICE,148.5875,n/a (no rx_mhz recorded),164,34911,NSW Rural Fire Service Site Coopers Shoot BYRON BAY,Within 10 metres,2870235408
copeland_tops_copel,Copeland Tops (Copel,,1908411/1,,N Abraham & B A Kilby,164.2500,n/a (no rx_mhz recorded),19,7436,"NSWSES 17m Lattice Tower Copeland Tops, off Copeland Trig Trail COPELAND",Within 10 metres,2870071760
copeland_tops_copel,Copeland Tops (Copel,,10179491/1,,BUREAU OF METEOROLOGY,151.5000,n/a (no rx_mhz recorded),19,7436,"NSWSES 17m Lattice Tower Copeland Tops, off Copeland Trig Trail COPELAND",Within 10 metres,2870451517
glen_rock_al,Glen Rock Al,1929336,1929336/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,5,139482,Glen Rock 70 metres south of ACMA Site 403861 EMERALD,Within 10 metres,2870513496
goonellabah_wyreem,Goonellabah(Wyreem,,1204836/1,,NSW RURAL FIRE SERVICE,148.5875,n/a (no rx_mhz recorded),22,8536,"Lismore City Council 22m Water Reservoir A, 16 Wyreema Ave GOONELLABAH",Within 10 metres,2870277943
goonellabah_wyreem,Goonellabah(Wyreem,,14140/1,,NSW RURAL FIRE SERVICE,160.2250,n/a (no rx_mhz recorded),22,8536,"Lismore City Council 22m Water Reservoir A, 16 Wyreema Ave GOONELLABAH",Within 10 metres,2870069414
goonellabah_wyreem,Goonellabah(Wyreem,,433772/1,,BUREAU OF METEOROLOGY,151.5000,n/a (no rx_mhz recorded),26,8537,"Lismore City Council 22m Water Reservoir B, 16 Wyreema Ave GOONELLABAH",Within 10 metres,2870523223
goonellabah_wyreem,Goonellabah(Wyreem,,1975242/1,,ROUS COUNTY COUNCIL,163.0500,n/a (no rx_mhz recorded),38,9003793,"Lismore City Council 35m Lattice Tower, 16 Wyreema Ave GOONELLABAH",Within 10 metres,2870107236
hillcrest_wine_glass,Hillcrest(Wine Glass,1411025,1411025/1,yes,BUREAU OF METEOROLOGY,151.5000,yes,38,405185,BOM Site Behind buildings near Wineglass Water Tower Wineglass Dr HILLCREST,Within 10 metres,2870095334
