SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2,_NEAREST_ANCHOR_ID,_NEAREST_ANCHOR_NAME,_DISTANCE_KM
10000265,-24.182717,151.236237,"Telstra Radio Tower Lake Awoonga, 4km north of Boynedale",QLD,4,,Within 10 metres,,NS7A,kroombit_repeater_al,Kroombit Repeater Al,35.715
10000390,-27.542505,153.073407,Mount Gravatt Outlook Mount Gravatt Outlook Drive Mount Gravatt,QLD,2,,Within 10 metres,,NT9I,mt_gravatt_lookout_a,MT GRAVATT LOOKOUT A,0.031
10000420,-19.878417,146.633056,QR Site Hervey Street MINGELA,QLD,4,,Within 10 metres,,LR2O,mingela_al,Mingela AL,0.104
10000462,-33.32185,150.9626,TL132 Transgrid 500kV Tower Off Boyds Trail Central MacDonald,NSW,2,,Within 10 metres,,MV9H,somersby,Somersby,32.068
10000570,-31.457495,152.72804,69 High Street WAUCHOPE,NSW,4,,Within 10 metres,,NV2G,port_macquarie_golf,Port Macquarie (Golf,18.085
10000571,-31.436696,152.897726,19-33 Morton Street PORT MACQUARIE,NSW,4,,Within 10 metres,,NV2H,port_macquarie_golf,Port Macquarie (Golf,5.583
10000683,-28.852978,153.556522,Ballina Fire Station 62 Tamarind Drive Ballina,NSW,4,,Within 10 metres,,NU3O,tuckombil,Tuckombil,8.058
10000687,-31.444239,152.893401,Port Macquarie Fire Station 5 Central Road Port Macquarie,NSW,4,,Within 10 metres,,NV2H,port_macquarie_golf,Port Macquarie (Golf,4.958
10000688,-33.412239,149.555986,Bathurst Fire Station 1 Alexander Street West Bathurst,NSW,4,,Within 10 metres,,MV8G,orange_stp_enviromon,Orange Stp Enviromon,42.954
10000779,-28.167718,153.549191,VRA Site Point Danger Tweed Heads,NSW,2,,Within 10 metres,,NU3C,tweed_heads_duranba,Tweed Heads (Duranba,12.022
10000782,-28.235179,153.288503,CommSite Bilbrough Lookout Springbrook,QLD,2,,Within 10 metres,,NU3B,murwillumbah_hartigans_hill,Murwillumbah (Hartigans Hill),14.612
10000824,-34.757375,149.763206,Radio Broadcast Site Mt Grey Goulburn,NSW,4,,Within 10 metres,,MW2P,bumana,Bumana,9.595
10001219,-18.200681,145.944401,QAS Site Lemon Tree Hill via KENNEDY,QLD,4,,Within 10 metres,,LQ7D,bilyana_al,Bilyana AL,11.607
10001304,-33.793865,151.167378,126 Greville Street West Chatswood,NSW,2,,Within 10 metres,,NV7M,kincumber,Kincumber,44.027
10002303,-27.81038,153.3146,104 Swan Rd PIMPAMA,QLD,2,,Within 10 metres,,NT9N,cedar_ck_plunket,Cedar Ck (Plunket,14.061
10002955,-27.222669,151.116752,Myola Kupunn Rd NANDI,QLD,4,,Within 10 metres,,NT7A,braziers_hill_al,Braziers Hill Al,55.239
