ANTENNA_ID,GAIN,FRONT_TO_BACK,H_BEAMWIDTH,V_BEAMWIDTH,BAND_MIN_FREQ,BAND_MIN_FREQ_UNIT,BAND_MAX_FREQ,BAND_MAX_FREQ_UNIT,ANTENNA_SIZE,ANTENNA_TYPE,MODEL,MANUFACTURER
1,0,0,0,,,MHz,,MHz,0,"Unknown antenna type, size or specifications-",UNKNOWN,UNKNOWN
10,8.7,28,55,,,MHz,,MHz,2,Corner Reflector (Vertical Polarisation)-R,517(V),AEA
100,11.7,15,40,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,150M(H),NOTIONAL
101,11.7,15,50,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,150M(V),NOTIONAL
1012,14.2,17,44,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,Y409(V),SCALAR
1014,16.2,17,35,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,Y415PT(V),SCALAR
106,13.1,16,35,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,400M(H),NOTIONAL
107,13.1,16,36,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,400M(V),NOTIONAL
1091,44,80,1.1,,,MHz,,MHz,1.8,Parabolic-P,UHX6-107H,ANDREW AUSTRALIA
1136,43.6,75,1,,,MHz,,MHz,3,Parabolic-P,UHX10-65D,ANDREW AUSTRALIA
1144,38.4,75,1.8,,,MHz,,MHz,1.8,Parabolic-P,UHX6-59H,ANDREW AUSTRALIA
1180,2.2,0,0,,,MHz,,MHz,0,Broadcasting transmit-,OMNI,BROADCAST NOTIONAL
1181,0,0,0,,,MHz,,MHz,0,Broadcasting transmit-,DIRECTIONAL,BROADCAST NOTIONAL
13058,5.2,0,0,,,MHz,,MHz,0,Vehicle mounted mobile antenna-X,CD28-41,RF INDUSTRIES
13189,8.2,0,0,,,MHz,,MHz,0,Colinear Vertical-U,COLV6,HI-TEC AERIALS NZ
13198,19.5,30,63,,,MHz,,MHz,1.94,Panel (1 sector)-R,742213,KATHREIN
13209,2.1,0,0,,,MHz,,MHz,0,Dipole-D,CI 121,UNKNOWN
13232,5.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-A,SMD2X2,RF INDUSTRIES
13248,5,0,0,,,MHz,,MHz,0,Dipole-D,DGPS,NOTIONAL
13250,2.2,0,0,,,MHz,,MHz,0,Dipole-D,297-Ground Ind.,POLAR
13302,5.2,0,0,,,MHz,,MHz,0,Dipole-D,5.2,NOTIONAL
13355,2.1,0,0,,,MHz,,MHz,0,Dipole-D,B40,SCALAR
13363,2.2,0,0,,,MHz,,MHz,0,Dipole-D,314,POLAR
13392,8.3,0,0,,,MHz,,MHz,0,Colinear Vertical-U,COL45-70,RF INDUSTRIES
13404,38.8,57,2,,,MHz,,MHz,0.6,Parabolic-P,HAA1806,COMHAT
13413,5.2,0,0,,,MHz,,MHz,0,Ground Independent Antenna-U,CD28-41-50,RF INDUSTRIES
13414,5.2,0,0,,,MHz,,MHz,0,Ground Independent Antenna-U,CD28-41-70,RF INDUSTRIES
13492,45,40,0.9,,,MHz,,MHz,4.2,Parabolic-P,DWSR 2502,ENTERPRISE ELECTRONICS CORP 
13570,5.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-D,214-2-IC ,POLAR
13600,3,0,0,,,MHz,,MHz,0,Colinear Vertical-U,TENTA-11,ALLTEK MARINE
13664,9,17,50,,,MHz,,MHz,0,Yagi (Mixed Polarisation)-Y,YU6,ANTENNAE AGENCIES
13670,16.2,17,33,,,MHz,,MHz,15,Yagi (Horizontal Polarisation)-Y,Y415,ZCG SCALAR
13820,5.2,0,0,,,MHz,,MHz,0,Colinear Vertical-U,G21,ZCG SCALAR
16,2.2,0,0,,,MHz,,MHz,0,"Integral antenna, unknown specifications-X",INTEGRAL,UNKNOWN
20003,38.4,64,1.9,,,MHz,,MHz,0.6,Parabolic-P,HSX2-180,ANDREW AUSTRALIA
20010,3,0,0,,,MHz,,MHz,0,Colinear Vertical-U,COL 28,RF INDUSTRIES
20019,1.6,0,0,,,MHz,,MHz,0,Ground Plane-C,236-A,POLAR
20025,11.2,20,45,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,YB6-65(V),RF INDUSTRIES
20031,15,17,30,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,RFS YU15,RFS
20050,2.1,0,0,,,MHz,,MHz,0,Dipole-D,FM - 814,UNKNOWN
20082,9.5,20,40,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YV9E ,RFS
20084,8.2,0,0,,,MHz,,MHz,3.5,Colinear Vertical-U,COL19,RF INDUSTRIES
20119,37.1,62,2.2,,,MHz,,MHz,1.2,Parabolic-P,VHP4-77,ANDREW AUSTRALIA
208,43.3,68,1.1,,,MHz,,MHz,2.4,Parabolic-P,HP8-77GE,ANDREW AUSTRALIA
238,26.7,30,7.2,,,MHz,,MHz,2,Parabolic-P,KP6-15,ANDREW AUSTRALIA
249,30.4,33,4.7,,,MHz,,MHz,3,Parabolic-P,KP10F-15B,ANDREW AUSTRALIA
258,32.8,40,3.8,,,MHz,,MHz,4,Parabolic-P,KP13F-15,ANDREW AUSTRALIA
30027,42,75,1.3,,,MHz,,MHz,2.4,Parabolic-P,HSX8-64A,ANDREW AUSTRALIA
30037,22.7,23,10,,,MHz,,MHz,2,Parabolic-P,KP6F-820B,ANDREW AUSTRALIA
30127,36.5,62,2.4,,,MHz,,MHz,1.2,Parabolic-P,VHLP4-71W (7G5),ANDREW AUSTRALIA
30142,44.5,35,0.9,,,MHz,,MHz,0,Parabolic-P,SLP10,ANDREW AUSTRALIA
36,16,17,30,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,900M(H),NOTIONAL
40001,11,0,0,,,MHz,,MHz,8,Slot (Vertical Polarisation)-T,124528-2,ANDREW AUSTRALIA
40006,43.1,71,1.1,,,MHz,,MHz,3,Parabolic-P,HPX10-59E,ANDREW AUSTRALIA
40013,2.2,0,0,,,MHz,,MHz,0,Dipole-D,Dipole,NOTIONAL
40080,17.5,25,65,,,MHz,,MHz,10,Panel (1 sector)-R,CNNPX310(0.9),ARGUS
40082,17,25,65,,,MHz,,MHz,10,Panel (1 sector)-R,NNPX310,ARGUS
40104,18.5,25,65,,,MHz,,MHz,10,Panel (1 sector)-R,742 266(2.1),KATHREIN
40115,40.8,66,1.5,,,MHz,,MHz,1.8,Parabolic-P,HPX6-77,ANDREW AUSTRALIA
40117,5.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-D,BA40-67,RF INDUSTRIES
44013,5.2,0,0,,,MHz,,MHz,0,Dipole-D,BA4141-68,RF INDUSTRIES
483,41.9,66,1.3,,,MHz,,MHz,2.4,Parabolic-P,HP8-65E,ANDREW AUSTRALIA
49,8.7,10,50,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,525(H),AEA
50009,2.2,0,0,,,MHz,,MHz,0,Dipole-D,COD1,RF INDUSTRIES
50013,8.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-A,SMD24,RF INDUSTRIES
50014,8.2,15,75,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,YH03,RF INDUSTRIES
50028,2.2,0,0,,,MHz,,MHz,0.56,Coaxial Dipole-D,CXL 70-1/h,PROCOM
50051,8.7,18,50,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YV6(H),RFS
50056,12.5,0,0,,,MHz,,MHz,10,Colinear Vertical-U,CNA010H-00,ARGUS
50058,41.3,74,1.4,,,MHz,,MHz,2.4,Parabolic-P,HSX8-59A,ANDREW AUSTRALIA
529,42.9,80,1.1,,,MHz,,MHz,3,Parabolic-P,UHX10-59J,ANDREW AUSTRALIA
558,40.1,48,1.5,,,MHz,,MHz,1.8,Parabolic-P,PL6-71D,ANDREW AUSTRALIA
60001,16.2,16.5,30,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YB16(H),RF INDUSTRIES
60002,2.2,0,0,,,MHz,,MHz,0,Ground Plane-C,GP2,RF INDUSTRIES
60005,5.2,0,0,,,MHz,,MHz,1.5,Colinear Vertical-U,COL7,RF INDUSTRIES
60006,2.2,9,0,,,MHz,,MHz,0,Dipole-D,SMD41,RF INDUSTRIES
60008,2.2,0,0,,,MHz,,MHz,0,Dipole-D,SMD1,RF INDUSTRIES
60010,2.2,0,0,,,MHz,,MHz,0,Dipole-D,SMD4,RF INDUSTRIES
60013,2.2,0,0,,,MHz,,MHz,0,Dipole-D,SMD2,RF INDUSTRIES
60015,16.4,15,33,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YU11-2(H),AEA
60021,11.7,20,40,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YV9(H),RFS
60022,8.2,14,57,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,Y303,SCALAR
60028,5.2,0,0,,,MHz,,MHz,0,Colinear Vertical-U,COL5,RF INDUSTRIES
60029,13.2,20,35,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YV11(H),RFS
