APTB_ID,APTB_TABLE_PREFIX,APTB_TABLE_ID,LICENCE_NO,APTB_DESCRIPTION,APTB_CATEGORY,APTB_TEXT,APTB_ITEM
643765082,LI,635075,104319/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765083,LI,635075,104319/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765084,LI,635078,104320/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765085,LI,635078,104320/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765088,LI,635110,104326/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765089,LI,635110,104326/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765090,LI,635110,104326/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765091,LI,635120,104424/1,Emergency or stand-by operation,SPCOND,The station shall be operated under the direction and control of the parent station licensee and then only during maintenance of the main installation or when the main installation is out of order or rendered inoperative or when the main installation is not being staffed.,22
643765092,LI,635120,104424/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643765100,LI,635128,104490/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765101,LI,635128,104490/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765102,LI,635128,104490/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765109,LI,635134,104566/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643765260,LI,643214,1445013/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765261,LI,643214,1445013/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765262,LI,643217,1445014/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765263,LI,643217,1445014/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765266,LI,643222,1445016/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765267,LI,643222,1445016/1,Exemption granted for assisting an exempt body.,SPCOND,A transmitter may only be operated under this licence for the sole or principal purpose of assisting a body to which subregulation 5(7) or 5(8) of the Radiocommunications Taxes Collection Regulations apply.,49
643765268,LI,643222,1445016/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765269,LI,643222,1445016/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765270,LI,643225,1445017/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765271,LI,643225,1445017/1,Exemption granted for assisting an exempt body.,SPCOND,A transmitter may only be operated under this licence for the sole or principal purpose of assisting a body to which subregulation 5(7) or 5(8) of the Radiocommunications Taxes Collection Regulations apply.,49
643765272,LI,643225,1445017/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765273,LI,643225,1445017/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
