CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
3792,BORAL RESOURCES (COUNTRY) PTY. LIMITED,ATTN Natassja Arthur,000187002,51000187002,27 Egret Street,KOORAGANG,NSW,2304,15,5,1
5832,NSW RURAL FIRE SERVICE,.,,25003129221,Locked Mail Bag 17,GRANVILLE,NSW,2142,15,3,3
17375,Port Macquarie Hastings Council,Port Macquarie Hastings Council,,11236901601,PO Box 84,PORT MACQUARIE,NSW,2444,10,4,1
21612,KEMPSEY SHIRE COUNCIL,Kempsey Shire Council,,70705618663,PO Box 78,WEST KEMPSEY,NSW,2440,10,4,1
34383,ROUS COUNTY COUNCIL,ROUS WATER,,81383023771,PO Box 230,LISMORE,NSW,2480,10,4,1
38986,HUNTER NEW ENGLAND LOCAL HEALTH DISTRICT,Attn Stewart Symons,,63598010203,PO Box 363,GLEN INNES,NSW,2370,12,3,1
41389,VRA RESCUE NSW LIMITED,VRA Communications Technical Group (CTG),,68767393968,PO Box 4127,DUBBO,NSW,2830,15,6,3
46260,Crest NSW Inc,Crest NSW Inc Nominee D Cottle,,87954272993,2 Tamworth Place,ALLAMBIE HEIGHTS,NSW,2100,15,6,3
46975,Department of Defence,Director Defence Spectrum Office,,68706814312,"D DSO APW-02-054, Anzac Park West PO Box 7953",CANBERRA BC,ACT,2610,15,1,1
48068,Abbot Point Bulkcoal Pty. Ltd.,Abbot Point Bulk Coal Pty Ltd,010183534,23010183534,PO Box 207,BOWEN,QLD,4805,2,5,1
48609,AMPOL REFINERIES (QLD) PTY LTD,CALTEX REFINERIES (QLD) PTY LTD,008425581,46008425581,PO Box 40,Wynnum,QLD,4178,2,5,1
48814,SEA SWIFT PTY. LTD.,SEA SWIFT PTY. LTD.,010889040,16010889040,PO Box 6755,CAIRNS,QLD,4870,1,5,1
49365,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF1 SOUTHPORT,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF1 SOUTHPORT,,46744719400,171 Marine Parade,SOUTHPORT,QLD,4215,15,6,3
49686,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC CENTRAL QUEENSLAND SQUADRON,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC CENTRAL QUEENSLAND SQUADRON,,72106080135,PO Box 642,ROCKHAMPTON,QLD,4700,15,6,3
49832,Australian Volunteer Coast Guard,QF12,,,PO Box 475,TULLY,QLD,4854,15,6,3
49932,Australian Volunteer Coast Guard Assoc Inc QF14 Ingham,Australian Volunteer Coast Guard Assoc Inc QF14 Ingham,,34872809257,PO Box 747,Ingham,QLD,4850,15,6,3
49933,Australian Volunteer Coast Guard,Innisfail Flotilla QF15,,,PO Box 991,INNISFAIL,QLD,4860,15,6,3
50110,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF-17 GYMPIE TIN CAN BAY,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF-17 GYMPIE TIN CAN BAY,,55737229721,PO Box 35,TIN CAN BAY,QLD,4580,15,6,3
50237,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC QUEENSLAND FLOTILLA 2,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC QUEENSLAND FLOTILLA 2,,98604716176,PO Box 5014 (QF2),MANLY,QLD,4179,15,6,3
50654,Australian Volunteer Coast Guard QF3,Australian Volunteer Coast Guard QF3,,,PO Box 2077,REDCLIFFE NORTH,QLD,4020,15,6,3
50967,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF 5 NOOSA,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF 5 NOOSA,,43534094940,PO Box 274,TEWANTIN,QLD,4565,15,6,3
51105,The Australian Volunteer Coast Guard Association Inc,AVCGA QF6 Mooloolaba,001273883,99392980313,65 Parkyn Parade,MOOLOOLABA,QLD,4557,15,6,3
51271,THE AUSTRALIAN VOLUNTEER COAST GUARD ASSOCIATION INCORPORATED,QF07 Redland Bay,001273883,99392980313,PO Box 7059,REDLAND BAY,QLD,4165,15,6,3
51273,THE AUSTRALIAN VOLUNTEER COAST GUARD ASSOCIATION INCORPORATED,The Australian Volunteer Coast Guard Association Inc,001273883,99392980313,PO Box 487 (QF8),TOWNSVILLE,QLD,4810,15,6,3
51411,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF 9 CAIRNS,AUSTRALIAN VOLUNTEER COAST GUARD ASSOC INC QF 9 CAIRNS,,29106194648,PO Box 495,CAIRNS,QLD,4870,15,6,3
51920,Banana Shire Council,Banana Shire Council,,85946116646,PO Box 412,BILOELA,QLD,4715,10,4,1
52399,Central Highlands Regional Council,Central Highlands Regional Council,,79198223277,PO Box 21 (Bauhinia Licences),EMERALD,QLD,4720,10,4,1
53012,JBS Australia Pty Limited,JBS Australia Pty Limited,011062338,14011062338,PO Box 886,TOOWOOMBA,QLD,4350,1,5,1
53416,VOLUNTEER MARINE RESCUE BRIBIE ISLANDINC,The Radio Officer,,20500377468,PO Box 85,BRIBIE ISLAND,QLD,4507,15,6,3
53715,MILES ELECTRONICS PTY LTD,Miles Electronics Pty Ltd,010533409,13010533409,22 Ponzo Street,WOREE,QLD,4868,15,5,1
53733,BANANA SHIRE REPEATER ASSOCIATION INC,BANANA SHIRE REPEATER ASSOCIATION INC,,91085397216,3a Murchinson Street,BILOELA,QLD,4715,14,4,1
53823,BJ Tandy and Co Pty Ltd,Tandy Concrete (Mackay),009782638,11009782638,PO Box 101,MACKAY,QLD,4740,5,5,1
54167,Volunteer Marine Rescue Victoria Point Assoc Inc,,,,PO Box 3276,VICTORIA POINT WEST,QLD,4165,14,6,3
54976,Brisbane Area Wicen Group Inc,Brisbane Area Wicen Group Inc,,,PO Box 764,ARCHERFIELD BC,QLD,4108,14,6,1
55666,Paul Raymond Benvenuti,Burdekin Communications,,,93 Graham Street,AYR,QLD,4807,8,7,1
55679,Burdekin Shire Council,Burdekin Shire Council,,66393843289,PO Box 974,AYR,QLD,4807,10,4,1
56139,Toowoomba Regional Council,ICT-Voice,,99788305360,PO Box 3021 ICT-Voice,TOOWOOMBA VILLAGE FAIR,QLD,4350,15,4,1
56398,Anglo Coal (Capcoal Management) Pty Limited,Attn: Dylan Hunt,010037564,73010037564,PMB 1,MIDDLEMOUNT,QLD,4746,15,5,1
