LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
10000690/1,74734,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-13,2026-07-13,2027-07-10,1,Granted,10000900,20011258_BE45_1,,,
10006423/1,1401916,2,203,Fixed,Point to Point,2026-08-24,2026-08-24,2027-09-30,1,Granted,10006958,1143026_QES386_2-2,,,
10051222/1,70610,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-30,2026-03-30,2027-03-31,1,Granted,10053205,20011258_OE72_2,,,
10051235/3,1102518,1,105,Broadcasting,Narrowcasting Service (LPON),2026-05-12,2026-05-12,2027-06-01,1,Granted,10543894,,,,
10051260/2,70610,2,203,Fixed,Point to Point,2026-03-30,2026-03-30,2027-03-31,1,Granted,12418874,20054753_400MHz_P2P_ADC66_1,,,
10058372/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060356,1148302_001760,,,
10058373/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060357,1148302_001760,,,
10058374/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060358,1148302_001760,,,
10058375/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060359,1148302_001760,,,
10058376/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060360,1148302_001760,,,
10058377/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060361,1148302_001760,,,
10059266/1,85665,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-05,2026-06-05,2027-07-01,1,Granted,10061295,1143026_NX494_2-11,,,
10059679/1,20026788,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-10,2026-06-10,2027-06-19,1,Granted,10061822,20006728_DIBP_LMR_QLD_160616,,,
10062257/1,20013543,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-13,2026-05-13,2027-06-22,1,Granted,10062286,,,,
10062984/1,20028875,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-11,2026-08-11,2027-07-25,1,Granted,10063341,20016317_JSMFAC887,,,
10062985/1,20028875,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-11,2026-08-11,2027-07-25,1,Granted,10063342,20016317_JSMFAC887,,,
10069934/1,20004308,3,308,Land Mobile,Paging System - Interior,2026-06-05,2026-06-05,2027-07-06,1,Granted,10070147,1143026_GC869_1-2,,,
10069935/1,20004308,3,308,Land Mobile,Paging System - Interior,2026-06-05,2026-06-05,2027-07-06,1,Granted,10070148,1143026_GC869_2-2,,,
10070385/11,20029073,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-28,2026-05-28,2027-07-07,1,Granted,11675171,1148302_App_Sub_008646,,,
10070386/18,20029073,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-28,2026-05-28,2027-07-07,1,Granted,12694207,20056436_App_Sub_012963,,,
10070420/14,20029073,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-28,2026-05-28,2027-07-07,1,Granted,12694208,20056436_App_Sub_012963,,,
10074098/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10076085,1148302_002085,,,
10074099/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10076086,1148302_002085,,,
10077566/1,41389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-15,2026-06-15,2027-07-25,1,Granted,10077587,,,,
10077571/1,41389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-15,2026-06-15,2027-07-25,1,Granted,10077589,,,,
10080315/1,82694,2,203,Fixed,Point to Point,2025-11-26,2025-11-26,2026-12-01,1,Granted,10080442,1130096_EG135,,,
10080488/1,1401916,2,203,Fixed,Point to Point,2026-08-24,2026-08-24,2027-09-30,1,Granted,10081019,20011258_QES373_2,,,
10084716/1,83314,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-24,2026-08-24,2027-09-30,1,Granted,10085514,20016317_JSMFAC1056,,,
10084717/1,83314,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-24,2026-08-24,2027-09-30,1,Granted,10085515,20016317_JSMFAC1056,,,
10086833/1,270141,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-21,2026-05-21,2027-06-30,1,Granted,10087298,20011258_QES421_2,,,
10089766/1,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10089840,20011258_QES422_1,,,
10089767/1,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10089841,20011258_QES422_2,,,
10089768/2,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,12441503,20016317_JSMFAC13042,,,
10089770/2,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,12441502,20016317_JSMFAC13042,,,
10089771/2,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10379164,20016317_JSMFAC3028,,,
10090315/2,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10643856,20011258_QES424_2,,,
10090946/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10091147,1131121_002436,,,
10091922/5,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,11963712,1131121_App_Sub_010068,,,
10094267/248,512112,10,125,PTS,PMTS Class B,2026-08-28,2026-08-28,2027-09-26,1,Granted,13090982,1139435_VentiaPTSSubmission_20260813_3,,,
10094272/206,512112,10,125,PTS,PMTS Class B,2026-08-28,2026-08-28,2027-09-26,1,Granted,13090988,1139435_VentiaPTSSubmission_20260813_2,,,
10099877/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10100101,20016317_JSMFAC1191,,,
10104347/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10104871,1148302_002626,,,
10109338/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10109571,1143026_MSQ03,,,
10110246/2,34383,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2027-06-14,1,Granted,12066704,1148302_App_Sub_010787,,,
10111124/2,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10506172,1143026_QES444_2-3,,,
10111163/2,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10506170,1143026_QES444_3-3,,,
10112915/1,85149,2,203,Fixed,Point to Point,2026-01-27,2026-01-27,2027-02-01,1,Granted,10113863,1148302_002723,,,
10112916/1,85149,2,203,Fixed,Point to Point,2026-01-27,2026-01-27,2027-02-01,1,Granted,10116841,1148302_002723,,,
10118995/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119753,1148302_002770,,,
10118996/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119754,1148302_002770,,,
10118997/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119755,1148302_002770,,,
10118998/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119756,1148302_002770,,,
10119212/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-16,2026-08-16,2027-08-31,1,Granted,10119772,20011258_QES455_2,,,
10123604/1,88239,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-03,2025-11-03,2026-10-20,1,Granted,10123694,20011258_BMS97,,,
10132209/1,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10132768,20011258_QES448_1,,,
10132210/1,84379,2,203,Fixed,Point to Point,2026-08-16,2026-08-16,2027-08-31,1,Granted,10132769,20011258_QES448_2,,,
10137110/1,521072,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10137245,1143026_QES459,,,
10143110,1136980,85,854,Spectrum,2 GHz Band,2021-06-29,2017-10-12,2032-10-11,1,Granted,,,,,
10143128/1,1147378,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-01,2026-05-01,2027-05-23,1,Granted,10143157,20011258_NOR16_1,,,
10143129/1,1147378,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-01,2026-05-01,2027-05-23,1,Granted,10143158,20011258_NOR16_2,,,
10143136,1103274,85,854,Spectrum,2 GHz Band,2017-07-04,2017-10-12,2032-10-11,1,Granted,,,,,
10143466,1104504,85,854,Spectrum,2 GHz Band,2024-08-22,2017-10-12,2032-10-11,1,Granted,,,,,
10143562,1103276,85,854,Spectrum,2 GHz Band,2024-08-22,2017-10-12,2032-10-11,1,Granted,,,,,
10158198/1,1420699,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-30,2025-10-30,2026-12-08,1,Granted,10158774,20011258_GC953_1,,,
10158199/1,1420699,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-30,2025-10-30,2026-12-08,1,Granted,10158775,20011258_GC953_2,,,
10158201/1,1420699,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-30,2025-10-30,2026-12-08,1,Granted,10158776,20011258_GC953_3,,,
10160190/1,1144435,2,200,Fixed,Point to Multipoint,2026-03-19,2026-03-19,2027-03-17,1,Granted,10164931,20011258_SEQ03_6,,,
10160191/1,1144435,2,200,Fixed,Point to Multipoint,2026-03-19,2026-03-19,2027-03-17,1,Granted,10166462,20011258_SEQ03_7,,,
10165274/1,521072,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10167489,20011258_QES478_1,,,
10165275/1,521072,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10167482,20011258_QES478_2,,,
10167521/1,401054,2,203,Fixed,Point to Point,2026-06-19,2026-06-19,2027-06-30,1,Granted,10168022,1148302_003377,,,
10167522/1,401054,2,203,Fixed,Point to Point,2026-06-19,2026-06-19,2027-06-30,1,Granted,10168023,1148302_003377,,,
10171265/1,1424239,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-09,2025-09-09,2026-09-09,1,Granted,10171616,1130096_QC142,,,
10172447/7,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308212,20056206_App_Sub_012121,,,
10172448/6,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308213,20056206_App_Sub_012121,,,
10179493/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180046,1148302_003537,,,
10179494/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180047,1148302_003537,,,
10179495/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180048,1148302_003537,,,
10181470/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594670,20038343_LMS_RCS334_vary_1,,,
10181471/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594671,20038343_LMS_RCS334_vary_2,,,
10181472/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594672,20038343_LMS_RCS334_vary_3,,,
10181473/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594673,20038343_LMS_RCS334_vary_4,,,
10181474/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594674,20038343_LMS_RCS334_vary_5,,,
10181475/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594675,20038343_LMS_RCS334_vary_6,,,
10182194/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182658,1148302_003579,,,
10182195/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182659,1148302_003579,,,
10182196/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182660,1148302_003579,,,
10182197/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182661,1148302_003579,,,
10183402/2,79601,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10390707,20016317_JSMFAC3079,,,
10192296/1,20017373,2,203,Fixed,Point to Point,2026-01-14,2026-01-14,2027-02-22,1,Granted,10193701,20019387_B8969-B0098_20170221_n1,,,
10195042/1,52399,3,303,Land Mobile,CBRS Repeater,2025-10-03,2025-10-03,2026-10-16,1,Granted,10196373,1130096_SC716A,,,
10195047/1,52399,2,203,Fixed,Point to Point,2025-10-03,2025-10-03,2026-10-16,1,Granted,10196377,1130096_SC716C,,,
10195649/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196470,20016317_JSMFAC1751,,,
10195650/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196471,20016317_JSMFAC1752,,,
10195651/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12287385,20016317_JSMFAC12410,,,
10195652/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12287386,20016317_JSMFAC12410,,,
10195653/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196474,20016317_JSMFAC1755,,,
10195654/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196475,20016317_JSMFAC1756,,,
10200444/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203474,20016317_JSMFAC1793,,,
10200458/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203494,20016317_JSMFAC1793,,,
10200466/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203502,20016317_JSMFAC1793,,,
10200468/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203504,20016317_JSMFAC1793,,,
10200523/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203577,20016317_JSMFAC1797,,,
10200530/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203588,20016317_JSMFAC1797,,,
10200550/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203644,20016317_JSMFAC1797,,,
10200557/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203651,20016317_JSMFAC1804,,,
10200558/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203652,20016317_JSMFAC1804,,,
10200560/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203654,20016317_JSMFAC1804,,,
10200582/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203678,20016317_JSMFAC1806,,,
10200598/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203719,20016317_JSMFAC1805,,,
10200602/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203724,20016317_JSMFAC1805,,,
10200604/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203726,20016317_JSMFAC1805,,,
10200605/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203727,20016317_JSMFAC1805,,,
10200613/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203735,20016317_JSMFAC1805,,,
10200614/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203736,20016317_JSMFAC1805,,,
10200634/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203757,20016317_JSMFAC1809,,,
10200645/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12763570,20016317_JSMFAC13992,,,
10200678/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203868,20016317_JSMFAC1808,,,
10201014/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10204386,20016317_JSMFAC1813,,,
10201064/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10204468,20016317_JSMFAC1812,,,
102046/1,48068,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-05,2025-09-05,2026-09-13,1,Granted,9808631,,,,
10204749/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205046,20016317_JSMFAC1850,,,
10204765/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10436339,20016317_JSMFAC3495,,,
10204769/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205183,20016317_JSMFAC1847,,,
10204786/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205200,20016317_JSMFAC1847,,,
10204811/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205245,20016317_JSMFAC1851,,,
10208914/1,20010642,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-03,2026-03-03,2027-03-28,1,Granted,10209539,1130096_JC114,,,
10212566/1,17375,2,201,Fixed,Point to Multipoint - Land Mobile Spec,2025-12-19,2025-12-19,2027-01-01,1,Granted,10212640,20006728_Port_Mac_ptmpt_040417,,,
10215409/1,20011641,3,307,Land Mobile,Paging System - Exterior,2026-03-04,2026-03-04,2027-04-12,1,Granted,10215497,20030429_EP_RCS274,,,
10215412/1,20011641,3,307,Land Mobile,Paging System - Exterior,2026-03-04,2026-03-04,2027-04-12,1,Granted,10215499,20030429_EP_RCS275,,,
10215968/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10218530,1130095_004002,,,
10215969/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10218531,1130095_004002,,,
10215970/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10218532,1130095_004002,,,
10215971/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10218534,1130095_004002,,,
10223156/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10223212,20016317_JSMFAC2044,,,
10226022/1,1144661,2,203,Fixed,Point to Point,2026-06-22,2026-06-22,2027-06-22,1,Granted,10227746,1131121_004241,,,
10228142/2,1401916,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-24,2026-08-24,2027-09-30,1,Granted,11000267,20016317_JSMFAC7069,,,
10228145/1,1401916,2,203,Fixed,Point to Point,2026-08-24,2026-08-24,2027-09-30,1,Granted,10230675,20016317_JSMFAC2061,,,
10230572/1,1401916,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-24,2026-08-24,2027-09-30,1,Granted,10230727,20016317_JSMFAC2077,,,
10230651/1,70610,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-30,2026-03-30,2027-03-31,1,Granted,10230667,20030429_LMS_OE77_1,,,
10230653/1,70610,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-30,2026-03-30,2027-03-31,1,Granted,10230672,20030429_LMS_OE77_2,,,
10230785/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12814061,20016317_JSMFAC14544_Project_12673,,,
10230836/3,20007490,1,105,Broadcasting,Narrowcasting Service (LPON),2026-06-05,2026-06-05,2027-06-08,1,Granted,10575542,,,,
10230991/1,20017363,2,203,Fixed,Point to Point,2026-04-13,2026-04-13,2027-05-22,1,Granted,10231098,20029601_APP_OP-49042,,,
10231228/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-15,2026-05-15,2027-05-23,1,Granted,10231643,20030429_LMS_RCS268_7,,,
10231229/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-15,2026-05-15,2027-05-23,1,Granted,10231644,20030429_LMS_RCS268_8,,,
10231244/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10231648,20016317_JSMFAC2090,,,
10231245/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10231649,20016317_JSMFAC2089,,,
10231246/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10231650,20016317_JSMFAC2089,,,
10231248/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10231652,20016317_JSMFAC2089,,,
10231250/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10231654,20016317_JSMFAC2089,,,
10231251/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-15,2026-05-15,2027-05-23,1,Granted,10231655,20030429_LMS_RCS268_10,,,
