AREA_CODE,AREA_NAME
1012,EAST GIPPSLAND RA1
1036,ESK RA1
1037,BOONAH RA1
1038,BALLINA RA1
1077,YOUNG RA2
1080,WARRAGUL RA2
1081,LATROBE VALLEY RA2
1111,HORSHAM RA2
1112,PORT PIRIE RA1
1113,VICTOR HARBOR RA2
1114,BORDERTOWN RA1
1140,HOBART RA3
1143,GEORGE TOWN RA1
1152,NORTHERN MIDLANDS RA1
1153,BREAK ODAY RA1
1154,HUON VALLEY RA1
1164,SPENCER GULF NORTH RA1
1170,NARRANDERA RA1
1176,HOBART RA4
1177,QLD & NT S40
1178,EMERALD S40
1179,DUNEDOO RA1
1193,SANCTUARY POINT RA1
1203,EMERALD RA2
1212,VICTORIAN COMMUNITY RA1
1230,OATLANDS RA1
1235,TIARO RA1
1240,BRAIDWOOD RA1
1242,EDEN RA1
1243,ARNHEM LAND RA1
1245,MOSSMAN RA1
1250,WEIPA RA1
1252,ROXBY DOWNS RA1
1253,YARRAMAN RA1
1254,CHARLEVILLE RA2
1256,GOOLWA RA1
1260,CAIRNS RA3
1263,BUNDABERG RA2
1265,COFFS HARBOUR RA3
1267,BENDIGO RA4
1268,LISMORE TV1
1270,WANNEROO RA1
1271,TUMUT RA1
1273,COONABARABRAN RA1
1274,GILGANDRA RA1
1275,COONAMBLE RA1
1276,WODONGA RA1
1279,UPPER MURRAY RA1
1289,WAGGA WAGGA RA3
1294,MUDGEE RA3
1295,NSW COMMUNITY RA1
1296,PORT AUGUSTA RA1
1306,MARYBOROUGH RA2
1316,WILCANNIA RA1
1318,CASTLEMAINE RA1
1319,AUGUSTA RA1
1321,GIN GIN RA1
1322,BENDIGO RA5
1325,GLOUCESTER RA1
1327,SEYMOUR RA1
1334,BILLILUNA RA1
1336,ONE ARM POINT (ARDYALOON) RA1
1364,HARVEY RA1
1366,WELLINGTON NSW RA1
1367,TEMORA RA1
1407,GOULBURN RA2
1409,MOUNT BARKER RA1
1414,MERIMBULA RA1
1422,MELBOURNE S40
162,ADELAIDE TV1
163,ALI CURUNG RA1
164,ALI CURUNG TV1
165,REGIONAL QUEENSLAND TV1
166,AMATA RA1
167,AMATA TV1
168,NORTHERN NEW SOUTH WALES TV1
169,SOUTHERN NEW SOUTH WALES TV1
170,REGIONAL VICTORIA TV1
171,AURUKUN RA1
172,AURUKUN TV1
173,BADU ISLAND RA1
174,BADU ISLAND TV1
175,BALGO RA1
176,BAMAGA RA1
177,BAMAGA TV1
178,BARUNGA RA1
179,BARUNGA TV1
180,BATHURST ISLAND RA1
181,BATHURST ISLAND TV1
182,WESTERN VICTORIA TV1
183,BEAGLE BAY RA1
184,BESWICK RA1
185,BESWICK TV1
186,BROKEN HILL TV1
187,BOIGU ISLAND RA1
188,BOIGU ISLAND TV1
189,BRISBANE TV1
190,BULMAN RA1
191,BULMAN TV1
192,COCONUT ISLAND RA1
193,COCONUT ISLAND TV1
194,DAGURAGU RA1
195,DAGURAGU TV1
196,DARNLEY ISLAND RA1
197,DARNLEY ISLAND TV1
198,DAUAN ISLAND RA1
199,DAUAN ISLAND TV1
200,DJARINDJIN RA1
201,DOOMADGEE RA1
202,DOOMADGEE TV1
203,ERNABELLA RA1
204,ERNABELLA TV1
205,FINKE RA1
206,FINKE TV1
207,FREGON RA1
208,FREGON TV1
209,GALIWINKU RA1
210,GALIWINKU TV1
211,EASTERN VICTORIA TV1
212,SPENCER GULF TV1
213,GERALDTON TV1
214,GUNUNA RA1
215,GUNUNA TV1
216,HERMANNSBURG RA1
217,HERMANNSBURG TV1
218,HOPE VALE RA1
219,HOPE VALE TV1
220,IMANPA RA1
221,IMANPA TV1
223,INDULKANA RA1
224,INDULKANA TV1
225,INJINOO RA1
226,INJINOO TV1
227,MT ISA TV1
228,JIGALONG RA1
230,KALKARINGI TV1
231,KALUMBURU RA1
232,KINTORE RA1
233,KINTORE TV1
234,KIWIRRKURRA RA1
235,KOWANYAMA RA1
236,KOWANYAMA TV1
237,KUBIN RA1
238,KUBIN TV1
239,KUNUNURRA RA1
240,LAGRANGE RA1
241,LAJAMANU RA1
242,LAJAMANU TV1
243,LOCKHART RIVER RA1
244,LOCKHART RIVER TV1
245,LOOMA RA1
246,MABUIAG ISLAND RA1
247,MABUIAG ISLAND TV1
248,MANINGRIDA RA1
249,MANINGRIDA TV1
250,MELBOURNE TV1
251,MILIKAPITI RA1
252,MILIKAPITI TV1
253,MILINGIMBI RA1
254,MILINGIMBI TV1
255,MINJILANG RA1
256,MINJILANG TV1
257,GRIFFITH AND MIA TV1
258,MURRAY ISLAND RA1
259,MURRAY ISLAND TV1
260,NEW MAPOON RA1
261,NEW MAPOON TV1
262,NEWMAN RA1
263,NGUKURR RA1
264,NGUKURR TV1
266,NTURIYA RA1
267,NTURIYA TV1
268,NUMBULWAR RA1
269,NUMBULWAR TV1
270,OENPELLI RA1
271,OENPELLI TV1
272,OOMBULGURRI RA1
273,PALUMPA RA1
274,PALUMPA TV1
275,PAPUNYA RA1
276,PAPUNYA TV1
277,PEPPIMENARTI RA1
278,PEPPIMENARTI TV1
279,PERTH TV1
280,PMARA JUTUNTA RA1
281,PMARA JUTUNTA TV1
282,PORMPURAAW RA1
283,PORMPURAAW TV1
284,PULARUMPI RA1
285,PULARUMPI TV1
287,RAMINGINING RA1
288,RAMINGINING TV1
289,RIVERLAND TV1
290,SAIBAI ISLAND RA1
291,SAIBAI ISLAND TV1
292,SANTA TERESA RA1
293,SANTA TERESA TV1
294,SEISIA RA1
295,SEISIA TV1
297,SOUTH WEST AND GREAT SOUTHERN TV1
298,ST PAULS RA1
299,ST PAULS TV1
300,STEPHENS ISLAND RA1
301,STEPHENS ISLAND TV1
302,MILDURA/SUNRAYSIA TV1
303,SUE ISLAND RA1
304,SUE ISLAND TV1
305,SYDNEY TV1
306,TASMANIA TV1
307,TJUKURLA RA1
308,UMAGICO RA1
309,UMAGICO TV1
310,UMBAKUMBA RA1
311,UMBAKUMBA TV1
312,KALGOORLIE TV1
313,WADEYE RA1
314,WADEYE TV1
315,WARMUN RA1
316,WARRUWI RA1
317,WARRUWI TV1
319,WILLOWRA RA1
320,WILLOWRA TV1
321,WINGELLINA RA1
322,WOORABINDA RA1
323,WOORABINDA TV1
324,WUJAL WUJAL RA1
325,WUJAL WUJAL TV1
326,YAM ISLAND RA1
327,YAM ISLAND TV1
328,YANDEYARRA RA1
329,YIRRKALA RA1
330,YIRRKALA TV1
331,YORKE ISLANDS RA1
332,YORKE ISLANDS TV1
333,YUELAMU RA1
334,YUELAMU TV1
335,YUENDUMU RA1
336,YUENDUMU TV1
337,YUNGNGORA RA1
338,WHYALLA RA1
339,PARRAMATTA RA1
340,ROCKHAMPTON RA2
341,SALISBURY RA1
342,FORSTER RA1
344,BOWRAL RA1
345,BALLARAT RA2
346,SHEPPARTON RA2
347,MORUYA RA1
348,TAREE RA2
349,TENTERFIELD RA1
350,CAIRNS RA2
351,LEONGATHA RA1
352,MELBOURNE WEST RA1
353,LOGAN RA1
354,MORNINGTON RA1
358,HAY RA1
359,CABOOLTURE RA1
360,MACLEAN RA1
361,NOWRA RA2
362,ARMIDALE RA1
363,ALBURY RA1
364,BATHURST RA1
365,COFFS HARBOUR RA1
366,DUBBO RA1
367,BEGA RA1
368,GRAFTON RA1
369,GOULBURN RA1
370,ORANGE RA1
371,YOUNG RA1
372,LISMORE RA1
373,LITHGOW RA1
374,KEMPSEY RA1
375,MUDGEE RA1
376,GUNNEDAH RA1
377,MURWILLUMBAH RA1
378,MUSWELLBROOK RA1
379,INVERELL RA1
380,KATOOMBA RA1
381,PARKES RA1
382,DENILIQUIN RA1
383,TAREE RA1
384,GRIFFITH RA1
385,TAMWORTH RA1
386,WESTERN SUBURBS SYDNEY RA1
387,WAGGA WAGGA RA1
388,COOMA RA1
389,WAGGA WAGGA RA2
390,ARMIDALE RA2
391,BELLINGEN RA1
392,BANKSTOWN RA1
393,COFFS HARBOUR RA2
394,LIVERPOOL RA1
395,MANLY RA1
396,NARWEE RA1
397,LISMORE RA2
398,CHATSWOOD RA1
399,NEWCASTLE RA2
400,BURWOOD RA1
401,ALBURY RA2
402,WAVERLEY RA1
403,RYDE RA1
404,SYDNEY RA2
405,WINDSOR RA1
406,TAMWORTH RA2
407,BENDIGO RA2
408,LATROBE VALLEY RA1
409,MURRAYVILLE RA1
410,PORTLAND RA1
412,TOOWOOMBA RA2
413,TOWNSVILLE RA2
414,MOUNT GAMBIER RA2
415,HOBART RA2
417,ALICE SPRINGS RA2
418,BATHURST RA2
420,FREMANTLE RA1
421,ROMA RA2
422,WYNYARD RA1
424,MELBOURNE EAST RA1
425,MELBOURNE NORTH EAST RA1
426,LAUNCESTON RA2
427,BALLARAT RA1
428,GEELONG RA1
429,BENDIGO RA1
432,MARYBOROUGH (VIC) RA1
433,WARRAGUL RA1
434,HAMILTON RA1
435,MILDURA RA2
436,MILDURA RA1
437,WANGARATTA RA1
438,SWAN HILL RA1
439,SALE RA1
440,HORSHAM RA1
441,WARRNAMBOOL RA1
442,CANBERRA RA2
443,BOURKE RA1
445,ATHERTON RA1
446,BUNDABERG RA1
447,GLADSTONE RA1
448,CHARTERS TOWERS RA1
449,GYMPIE RA1
450,EMERALD RA1
451,INNISFAIL RA1
452,LONGREACH RA1
453,MT ISA RA1
454,MARYBOROUGH (QLD) RA1
