CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
769,Channel Seven Sydney Pty Limited,Seven Network Operations Ltd,000145246,36000145246,Seven Network Operations Ltd PO BOX 7077,Alexandria,NSW,2015,8,5,1
2139,BALLINA SHIRE COUNCIL,BALLINA SHIRE COUNCIL,,53929887369,PO Box 450,BALLINA,NSW,2478,10,4,1
2662,The Hills Shire Council,The Hills Shire Council,,25034494656,PO Box 75,CASTLE HILL,NSW,1765,10,4,1
3792,BORAL RESOURCES (COUNTRY) PTY. LIMITED,ATTN Natassja Arthur,000187002,51000187002,27 Egret Street,KOORAGANG,NSW,2304,15,5,1
5832,NSW RURAL FIRE SERVICE,.,,25003129221,Locked Mail Bag 17,GRANVILLE,NSW,2142,15,3,3
6552,JBS Australia Pty Limited,JBS Australia Pty Limited,011062338,14011062338,PO Box 207,QUIRINDI,NSW,2343,15,5,1
6952,Cessnock Radio Cabs Co-Operative Ltd,Cessnock Radio Cabs Co-Operative Ltd,,35427256552,52 Cumberland St,CESSNOCK,NSW,2325,15,6,1
8699,Department of Justice Corrective Services NSW,Security & Intelligence,,32980170687,Technical Security Unit LMB 3 Australia Post Business Centre,SILVERWATER,NSW,1811,10,3,1
9997,RB Davidson,Merrivale Partnership,,,St Peters,TAMBAR SPRINGS,NSW,2381,15,7,1
11564,Dungog Shire Council,Dungog Shire Council,,62610350056,PO Box 95,DUNGOG,NSW,2420,15,4,1
11827,JA and FW Easter,JA and FW Easter,,,194 Forest Road,TAMWORTH,NSW,2340,15,6,1
13634,Forestry Corporation of New South Wales,Forestry Corporation,,43141857613,PO Box 100,BEECROFT,NSW,2119,1,3,1
14637,General Communications Pty Ltd,General Communications Pty Ltd,002304243,29002304243,PO Box 405,HAMILTON,NSW,2303,8,5,1
