id,name,lat,lon,surveyed_ahd_m,elvis_ahd_m,difference_m,abs_difference_m,dem_resolution,relief_within_ring_m,reading,source,dataset
palmers_rd,Palmers Road,-28.434,153.295,151.0,44.35,106.65,106.65,1m,61.9,"coordinate: ground rises 62 m within the ring, 58% of the difference — the mark is likely uphill of the point, so check the position before the height",CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5286854_56_0001_0001.tif
corsis_al,Corsis AL,-17.5967,145.9014,140.8,45.37,95.43,95.43,1m,14.5,mark is 95 m above the modelled ground and the ring explains only 15% of it,QLD Government,CassowaryCoast_2009_Prj_SW_382000_8054000_2K_DEM_1m.tif
tarana_fish_river,Tarana (Fish River),-33.5728,149.9128,953.8,866.26,87.54,87.54,5m,49.2,"coordinate: ground rises 49 m within the ring, 56% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Oberon201311-PHO3-AHD_7706280_55_0002_0002_5m.tif
jeogla_at_east_kund,Jeogla (at East Kunderang Rd),-30.8108,152.071,730.2,817.69,-87.49,87.49,2m,-0.8,modelled ground is above the mark — unusual; check both,NSW Government,Carrai201805-LID2-AHD_4106590_56_0002_0002_2m.tif
budds_mare_at_the_c,Budds Mare (at the campground),-30.9847,151.9721,870.3,947.45,-77.15,77.15,2m,17.5,modelled ground is above the mark — unusual; check both,NSW Government,Armidale201505-LID2-AHD_4006570_56_0002_0002_2m.tif
main_camp_rd_al,Main Camp Ck AL,-27.8336,152.3144,596.3,521.56,74.74,74.74,1m,53.2,"coordinate: ground rises 53 m within the ring, 71% of the difference — the mark is likely uphill of the point, so check the position before the height",QLD Government,Lockyer_Valley_2022_LGA_SW_432000_6921000_1k_DEM_1m.tif
couchy_ck,Couchy Creek,-28.2662,153.279,151.6,83.22,68.38,68.38,1m,49.1,"coordinate: ground rises 49 m within the ring, 72% of the difference — the mark is likely uphill of the point, so check the position before the height",CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5276873_56_0001_0001.tif
meunga_ck_al,Meunga Creek AL,-18.2817,145.8786,175.0,108.28,66.72,66.72,1m,49.5,"coordinate: ground rises 50 m within the ring, 74% of the difference — the mark is likely uphill of the point, so check the position before the height",QLD Government,CassowaryCoast_2009_Prj_SW_380000_7978000_2K_DEM_1m.tif
spring_bluff_al,Spring Bluff AL,-27.4692,151.9836,467.9,404.76,63.14,63.14,1m,45.3,"coordinate: ground rises 45 m within the ring, 72% of the difference — the mark is likely uphill of the point, so check the position before the height",QLD Government,Toowoomba_2015_Prj_SW_399000_6961000_1K_DEM_1m.tif
bald_knob_al,Bald Knob AL,-26.7789,152.9153,423.5,476.43,-52.93,52.93,1m,0.5,modelled ground is above the mark — unusual; check both,QLD Government,SunshineCoast_2014_LGA_SW_491000_7038000_1K_DEM_1m.tif
upper_spence_ck_t,Upper Spence Ck T,-16.3165,145.0995,727.1,778.26,-51.16,51.16,1 Second,1.2,modelled ground is above the mark — unusual; check both,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bellbird_ck_al,Bellbird Ck AL,-26.6274,152.7046,151.0,105.32,45.68,45.68,1m,0.5,mark is 46 m above the modelled ground and the ring explains only 1% of it,QLD Government,SunshineCoast_2008_LGA_SW_470000_7054000_1K_DEM_1m.tif
nundle_pearly_gates,Nundle (Pearly Gates),-31.5,151.093,666.7,621.2,45.5,45.5,5m,36.0,"coordinate: ground rises 36 m within the ring, 79% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Ellerston201304-PHO3-AHD_3186512_56_0002_0002_5m.tif
mt_gayndah_al,Mt Gayndah AL,-25.605,151.5403,319.1,363.85,-44.75,44.75,1m,0.0,modelled ground is above the mark — unusual; check both,QLD Government,BurnettRivPhilpott_2014_Prj_SW_353000_7167000_1K_DEM_1m.tif
wattamolla_griffith,Wattamolla (Griffiths),-34.7208,150.6491,192.5,148.48,44.02,44.02,1m,19.8,"coordinate: ground rises 20 m within the ring, 45% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Kiama201610-LID1-AHD_2846154_56_0002_0002_1m.tif
clarrie_hall_dam_d_s,Clarie Hall Dam D/S,-28.43,153.315,73.5,29.84,43.66,43.66,1m,39.3,"coordinate: ground rises 39 m within the ring, 90% of the difference — the mark is likely uphill of the point, so check the position before the height",CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5306855_56_0001_0001.tif
forbesdale_gloucest,Forbesdale (Gloucester River),-32.059,151.897,182.2,138.7,43.5,43.5,2m,12.8,mark is 44 m above the modelled ground and the ring explains only 29% of it,NSW Government,Dungog201803-LID2-AHD_3946452_56_0002_0002_2m.tif
koree_island_hastin,Koree Island (Hastin,-31.4628,152.6789,48.7,10.81,37.89,37.89,1m,26.3,"coordinate: ground rises 26 m within the ring, 70% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Kempsey201205-LID1-AHD_4686518_56_0002_0002_1m.tif
ban_ban_al,Ban Ban AL,-25.7108,151.8083,178.0,140.22,37.78,37.78,1 Second,34.4,"coordinate: ground rises 34 m within the ring, 91% of the difference — the mark is likely uphill of the point, so check the position before the height",Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
mullumbimby_ck_m,Mullumbimby Creek (Mullumbimby Ck),-28.5542,153.4367,87.0,51.92,35.08,35.08,1m,39.8,"coordinate: ground rises 40 m within the ring, 114% of the difference — the mark is likely uphill of the point, so check the position before the height",CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5426841_56_0001_0001.tif
upper_rous_river_ho,Hopkins Creek,-28.2722,153.2134,218.2,183.74,34.46,34.46,2m,40.4,"coordinate: ground rises 40 m within the ring, 117% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Murwillumbah201709-LID2-AHD_5206872_56_0002_0002_2m.tif
fossickers_flat_sho,Fossickers Flat (Shoalhaven River),-34.8217,150.1817,272.4,238.88,33.52,33.52,2m,91.3,"coordinate: ground rises 91 m within the ring, 272% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,MossVale201805-LID2-AHD_2426142_56_0002_0002_2m.tif
chaffey_dam_w_l_pee,Chaffey Dam W/L (Peel River),-31.35,151.1375,552.3,518.98,33.32,33.32,5m,28.9,"coordinate: ground rises 29 m within the ring, 87% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Nundle201305-PHO3-AHD_3226530_56_0002_0002_5m.tif
tully_gorge_al,Tully Gorge AL,-17.7725,145.6503,114.7,81.63,33.07,33.07,1m,10.2,mark is 33 m above the modelled ground and the ring explains only 31% of it,QLD Government,CassowaryCoast_2016_Prj_SW_356000_8034000_1K_DEM_1m.tif
upper_tenthill_al,Upper Tenthill AL,-27.8094,152.2867,359.3,326.48,32.82,32.82,1m,25.0,"coordinate: ground rises 25 m within the ring, 76% of the difference — the mark is likely uphill of the point, so check the position before the height",QLD Government,Lockyer_Valley_2022_LGA_SW_429000_6923000_1k_DEM_1m.tif
logans_crossing_cam,Logans Crossing (Cam,-31.6161,152.6925,42.5,10.39,32.11,32.11,1m,9.1,mark is 32 m above the modelled ground and the ring explains only 28% of it,NSW Natural Resorces Commision,Wauchope2022-DEM-AHD-1m_470500-6502000_56_500m_500m.tif
moparrabah_parrabel,Moparrabah,-30.9783,152.5106,114.9,84.03,30.87,30.87,2m,0.5,mark is 31 m above the modelled ground and the ring explains only 2% of it,NSW Government,Macksville201707-LID2-AHD_4526572_56_0002_0002_2m.tif
wattamolla_new,Wattamolla (NEW),-34.7283,150.6585,398.5,368.07,30.43,30.43,1m,15.1,"coordinate: ground rises 15 m within the ring, 50% of the difference — the mark is likely uphill of the point, so check the position before the height",NSW Government,Kiama201610-LID1-AHD_2846154_56_0002_0002_1m.tif
tyalgum_br_tya,Tyalgum Bridge,-28.359,153.21,82.5,52.4,30.1,30.1,2m,4.5,mark is 30 m above the modelled ground and the ring explains only 15% of it,NSW Government,Murwillumbah201709-LID2-AHD_5206862_56_0002_0002_2m.tif
upper_dalrymple_ck_a,Upper Dalrymple Ck AL,-27.9839,152.2909,685.1,655.35,29.75,29.75,1m,15.4,"coordinate: ground rises 15 m within the ring, 52% of the difference — the mark is likely uphill of the point, so check the position before the height",QLD Government,LockyerValleySouth_2011_Rgn_SW_430000_6904000_1K_DEM_1m.tif
spring_ck_rd_al,Spring Ck Rd AL,-28.2519,152.4717,775.8,746.26,29.54,29.54,1m,15.0,"coordinate: ground rises 15 m within the ring, 51% of the difference — the mark is likely uphill of the point, so check the position before the height",QLD Government,ScenicRim_2011_LGA_SW_448000_6874000_1K_DEM_1m.tif
