id,name,lat,lon,elvis_ahd_m,dem_resolution,dem_resolution_m,source,dataset
abbieglassie_al,Abbieglassie AL,-27.2919,147.4838,266.29,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
aberfeldy_river_at_beardmores,Aberfeldy River at Beardmores,-37.854,146.433,315.77,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
above_farmhouse_creek_picton_river,Above Farmhouse Creek (Picton River),-43.2469,146.6947,145.94,2m,2.0,TAS Government,Tasmania_Statewide_2m_DEM_14-08-2021.tif
acheron_river_at_taggerty,Acheron River at Taggerty,-37.3167,145.7167,201.18,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ackland_hill,Ackland Hill,-35.045,138.649,414.85,1m,1.0,SA Government,Onkaparinga2019_DEM_2856119_01_001.tif
acton_park,Acton Park,-33.785,115.406,131.8,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
adams_br_al,Adams Br AL,-27.8294,152.5108,87.31,1m,1.0,QLD Government,ScenicRim_2011_LGA_SW_451000_6921000_1K_DEM_1m.tif
adamstown,Adamstown,-32.9446,151.711,27.42,1m,1.0,NSW Government,Newcastle201409-LID1-AHD_3786354_56_0002_0002_1m.tif
adavale_rd_al,Adavale Rd AL,-26.3264,146.0978,287.45,1m,1.0,QLD Government,Charleville_2011_Twn_SW_409000_7087000_1K_DEM_1m.tif
adelaide_airport,Adelaide Airport,-34.952,138.521,2.39,50cm,0.5,SA Government,AdelaideMetro2022-DEM-GRID-50cm_2736129_54_0001_0001.tif
adelaide_river_station,Adelaide River Station,-12.847,131.329,34.11,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
agnes_water_jarvey_drive_al,Agnes Water (Jarvey Drive) AL,-24.229678,151.90721,16.82,1m,1.0,QLD Government,Gladstone_2009_Ctl_SW_388000_7318000_2K_DEM_1m.tif
air_sea_rescue_al,Air Sea Rescue AL,-27.9525,153.4242,0.89,1m,1.0,QLD Government,GoldCoast_2009_LGA_SW_541000_6907000_1K_DEM_1m.tif
aitkenvale_al,Aitkenvale AL,-19.295,146.771,8.95,50cm,0.5,Griffith Uni,Townsville201804-DEM-GRID-50cm_4757866_55_0001_0001.tif
alawoona_comparison,Alawoona Comparison,-34.731,140.504,72.33,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
albany_creek_al,Albany Creek AL,-27.351,152.991,42.74,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_499000_6974000_1K_DEM_1m.tif
albion_park_post_office,Albion Park Post Office,-34.57,150.779,9.15,1m,1.0,NSW Government,Kiama201103-LID1-AHD_2966172_56_0002_0002_1m.tif
alderley_al,Alderley AL,-27.424,153.003,42.67,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_500000_6966000_1k_DEM_1m.tif
aldgate_creek,Aldgate Creek,-35.015,138.732,426.16,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alectown_vanvilla,Alectown (Vanvilla),-32.937,148.244,341.1,5m,5.0,NSW Government,PeakHill201204-PHO3-AHD_6166354_55_0002_0002_5m.tif
alice_downs_al,Alice Downs AL,-26.4131,146.887,364.87,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alice_gap_repeater,Alice Gap Repeater,-23.725,133.863,697.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alick_ck_tm,Alick Ck Tm,-20.4167,141.9992,127.57,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
allambie_lane,Allambie Lane,-19.363935,146.708949,20.86,1m,1.0,QLD Government,Townsville_2009_Ctl_SW_469000_7858000_1K_DEM_1m.tif
allandale_al,Allandale AL,-24.3028,146.0125,448.01,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alligator_flats_al,Alligator Flats AL,-24.3333,151.5819,36.86,50cm,0.5,Griffith Uni,Gladstone201307-DEM-GRID-50cm_3567308_56_0001_0001.tif
alpha,Alpha,-23.649,146.6464,349.27,1m,1.0,QLD Government,Alpha_2011_Twn_SW_463000_7384000_1K_DEM_1m.tif
alroy_crossing_tm,Alroy Crossing Tm,-27.8055,144.7079,191.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
amberley_dnrm_al,Amberley (DNRM) AL,-27.6658,152.6989,23.68,1m,1.0,QLD Government,Ipswich_2009_LGA_SW_470000_6939000_1K_DEM_1m.tif
amberley_greens_rd_al_p,Amberley (Greens Rd) AL-P,-27.6783,152.6989,25.79,1m,1.0,QLD Government,Ipswich_2023_LGA_SW_470000_6938000_1k_DEM_1m.tif
amby,Amby,-26.5478,148.185,347.17,1m,1.0,QLD Government,Amby_2011_Twn_SW_618000_7063000_1K_DEM_1m.tif
amelia_cr_yarrowmer,Amelia Cr (Yarrowmer,-21.0257,145.7661,279.72,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
